"Employee_name","Employee_salary","salary_adjustment","total_salaries","employee_raise"
"Employee 62",47180.2634256892,-4885.30529197305,42294.9581337161,FALSE
"Employee 63",49498.8508871756,4209.55528854392,53708.4061757196,TRUE
"Employee 64",48716.4049502462,1577.95970793813,50294.3646581843,TRUE
"Employee 65",44134.6440743655,1258.70574265718,45393.3498170227,TRUE
"Employee 66",48282.3316287249,6155.17756901681,54437.5091977417,TRUE
"Employee 67",44482.2551310062,9225.71122762747,53707.9663586337,TRUE
"Employee 68",43555.1608214155,3133.67839320563,46688.8392146211,TRUE
"Employee 69",44029.4956043363,9453.69343389757,53483.1890382338,TRUE
"Employee 70",49909.8255299032,3228.18984161131,53138.0153715145,TRUE
"Employee 71",41239.1596660018,-1800.55272998288,39438.6069360189,FALSE
"Employee 72",47273.3011399396,-3761.59376581199,43511.7073741276,FALSE
"Employee 73",45267.1051793732,-3721.50965733454,41545.5955220386,FALSE
"Employee 74",45390.1797765866,7366.95314873941,52757.132925326,TRUE
"Employee 75",41445.2454517595,-52.7523818891495,41392.4930698704,FALSE
"Employee 76",41467.3813129775,7604.75272196345,49072.134034941,TRUE
"Employee 77",48597.7373900823,5101.58196557313,53699.3193556555,TRUE
"Employee 78",44849.7755709104,-2173.45778364688,42676.3177872635,FALSE
"Employee 79",47212.4964487739,9328.44283641316,56540.9392851871,TRUE
"Employee 80",41546.2431311607,3699.92093881592,45246.1640699767,TRUE
"Employee 81",41439.5964727737,7616.49678112008,49056.0932538938,TRUE
"Employee 82",41952.9300974682,7379.39026206732,49332.3203595355,TRUE
"Employee 83",43482.9324507155,-1811.80373765528,41671.1287130602,FALSE
"Employee 84",46452.4295832962,2131.05491013266,48583.4844934288,TRUE
"Employee 85",47600.7300452329,4232.28072701022,51833.0107722431,TRUE
"Employee 86",45373.0087331496,3935.10406953283,49308.1128026824,TRUE
"Employee 87",40397.3870468326,2493.04351280443,42890.430559637,TRUE
"Employee 88",40163.2453687489,8098.88436109759,48262.1297298465,TRUE
"Employee 89",40871.4202791452,-4642.17292494141,36229.2473542038,FALSE
"Employee 90",47472.7964005433,5636.09136268497,53108.8877632283,TRUE
"Employee 91",46231.4812396653,9489.60363049991,55721.0848701652,TRUE
"Employee 92",49939.6902509034,-1831.5633549355,48108.1268959679,FALSE
"Employee 93",40032.6323672198,5578.36997671984,45611.0023439396,TRUE
"Employee 94",40950.0024165027,-384.029855486006,40565.9725610167,FALSE
"Employee 95",48320.4314461909,-172.831572126597,48147.5998740643,FALSE
"Employee 96",46388.9375282452,4413.66336890496,50802.6008971501,TRUE
"Employee 97",41937.601948157,-4212.75961212814,37724.8423360288,FALSE
"Employee 98",42638.4261390194,6594.83487019315,49233.2610092126,TRUE
"Employee 99",46013.6518534273,9425.96853594296,55439.6203893702,TRUE
"Employee 100",44881.6693713889,8528.69465830736,53410.3640296962,TRUE
